location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,streets,intersects,river_bassin,industrial,residential,government,agg_buildings,unk_building,roads,railways,airports,special,recreational,orchards,vineyards,horticulture,arable,meadows,farmpastures,alpinemeadows,aplinepasteurs,closed_forest,open_forest,brush_forest,woods,lakes,rivers,unproductive,bareland,glaciers,luse_total,water_value,adjusted_land_use,part_industrial,part_residential,part_government,part_agg_buildings,part_unk_building,part_roads,part_railways,part_airports,part_special,part_recreational,part_orchards,part_vineyards,part_horticulture,part_arable,part_meadows,part_farmpastures,part_alpinemeadows,part_aplinepasteurs,part_closed_forest,part_open_forest,part_brush_forest,part_woods,part_lakes,part_rivers,part_unproductive,part_bareland,part_glaciers,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,is_slr,is_mcbp,both,region
Boiron,46.4910297,6.4801618,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,Tolochenaz,5649.0,1933.0,35552.0,1.0,rhone,19.0,23.0,6.0,3.0,0.0,27.0,4.0,0.0,12.0,7.0,14.0,15.0,1.0,53.0,15.0,1.0,0.0,0.0,29.0,4.0,0.0,7.0,464.0,0.0,0.0,0.0,0.0,704.0,464.0,240.0,0.0791666666666666,0.0958333333333333,0.025,0.0125,0.0,0.1125,0.0166666666666666,0.0,0.05,0.0291666666666666,0.0583333333333333,0.0625,0.0041666666666666,0.2208333333333333,0.0625,0.0041666666666666,0.0,0.0,0.1208333333333333,0.0166666666666666,0.0,0.0291666666666666,1.9333333333333331,0.0,0.0,0.0,0.0,0.2625,0.1291666666666666,0.0291666666666666,0.4125,0.1666666666666666,1.9333333333333331,0.0,False,True,False,grand-lac
Cully plage,46.4888866,6.7413961,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,Bourg-en-Lavaux,5613.0,5369.0,62762.0,11.0,rhone,1.0,29.0,1.0,2.0,2.0,46.0,8.0,0.0,2.0,2.0,9.0,206.0,0.0,3.0,16.0,30.0,0.0,0.0,41.0,2.0,0.0,13.0,294.0,1.0,0.0,1.0,0.0,709.0,295.0,414.0,0.002415458937198,0.0700483091787439,0.002415458937198,0.0048309178743961,0.0048309178743961,0.1111111111111111,0.0193236714975845,0.0,0.0048309178743961,0.0048309178743961,0.0217391304347826,0.4975845410628019,0.0,0.0072463768115942,0.038647342995169,0.072463768115942,0.0,0.0,0.0990338164251207,0.0048309178743961,0.0,0.0314009661835748,0.7101449275362319,0.002415458937198,0.0,0.002415458937198,0.0,0.0893719806763284,0.1304347826086956,0.0048309178743961,0.6376811594202898,0.1352657004830917,0.71256038647343,0.002415458937198,False,False,False,grand-lac
La Morges,46.504063,6.494099,1110,CH,l,Lac Léman,morges,lac-leman,False,Morges,5642.0,15708.0,72218.0,1.0,rhone,26.0,98.0,10.0,0.0,12.0,69.0,11.0,0.0,14.0,30.0,4.0,2.0,1.0,27.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,377.0,1.0,0.0,0.0,0.0,702.0,378.0,324.0,0.0802469135802469,0.3024691358024691,0.0308641975308641,0.0,0.037037037037037,0.2129629629629629,0.0339506172839506,0.0,0.0432098765432098,0.0925925925925925,0.0123456790123456,0.0061728395061728,0.0030864197530864,0.0833333333333333,0.0216049382716049,0.0030864197530864,0.0,0.0,0.0216049382716049,0.0,0.0,0.015432098765432,1.1635802469135803,0.0030864197530864,0.0,0.0,0.0,0.4938271604938272,0.2469135802469135,0.0925925925925925,0.1296296296296296,0.037037037037037,1.1666666666666667,0.0,True,False,False,grand-lac
La Pêcherie,46.4639187,6.3857321,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851.0,442.0,41408.0,3.0,rhone,9.0,20.0,0.0,8.0,2.0,22.0,4.0,0.0,6.0,2.0,55.0,69.0,0.0,123.0,8.0,9.0,0.0,0.0,51.0,1.0,0.0,6.0,306.0,2.0,2.0,0.0,0.0,705.0,308.0,397.0,0.0226700251889168,0.0503778337531486,0.0,0.0201511335012594,0.0050377833753148,0.0554156171284634,0.0100755667506297,0.0,0.0151133501259445,0.0050377833753148,0.1385390428211587,0.1738035264483627,0.0,0.3098236775818639,0.0201511335012594,0.0226700251889168,0.0,0.0,0.1284634760705289,0.0025188916876574,0.0,0.0151133501259445,0.7707808564231738,0.0050377833753148,0.0050377833753148,0.0,0.0,0.1133501259445843,0.0654911838790932,0.0050377833753148,0.6649874055415617,0.1460957178841309,0.7758186397984888,0.0050377833753148,False,False,False,grand-lac
lacléman_gland_kubela,46.4028693,6.2819358,1196,CH,l,Lac Léman,gland,lac-leman,False,Gland,5721.0,13109.0,42931.0,0.0,rhone,3.0,33.0,2.0,6.0,2.0,14.0,0.0,0.0,2.0,45.0,5.0,0.0,1.0,102.0,25.0,6.0,0.0,0.0,113.0,2.0,0.0,7.0,339.0,0.0,0.0,0.0,0.0,707.0,339.0,368.0,0.0081521739130434,0.0896739130434782,0.0054347826086956,0.0163043478260869,0.0054347826086956,0.0380434782608695,0.0,0.0,0.0054347826086956,0.1222826086956521,0.0135869565217391,0.0,0.0027173913043478,0.2771739130434782,0.0679347826086956,0.0163043478260869,0.0,0.0,0.3070652173913043,0.0054347826086956,0.0,0.0190217391304347,0.9211956521739132,0.0,0.0,0.0,0.0,0.1304347826086956,0.0380434782608695,0.1222826086956521,0.3777173913043478,0.3315217391304348,0.9211956521739132,0.0,True,False,False,grand-lac
Lacléman_Gland_LecoanetS,46.4028106,6.2819586,1196,CH,l,Lac Léman,gland,lac-leman,True,Gland,5721.0,13109.0,42792.0,0.0,rhone,2.0,33.0,2.0,6.0,2.0,14.0,0.0,0.0,2.0,45.0,5.0,0.0,1.0,101.0,25.0,6.0,0.0,0.0,112.0,2.0,0.0,7.0,339.0,0.0,0.0,0.0,0.0,704.0,339.0,365.0,0.0054794520547945,0.0904109589041095,0.0054794520547945,0.0164383561643835,0.0054794520547945,0.0383561643835616,0.0,0.0,0.0054794520547945,0.1232876712328767,0.0136986301369863,0.0,0.0027397260273972,0.2767123287671232,0.0684931506849315,0.0164383561643835,0.0,0.0,0.3068493150684931,0.0054794520547945,0.0,0.0191780821917808,0.9287671232876712,0.0,0.0,0.0,0.0,0.1287671232876712,0.0383561643835616,0.1232876712328767,0.3780821917808218,0.3315068493150684,0.9287671232876712,0.0,True,False,True,grand-lac
lacléman_vidy_santie,46.5183178,6.5896078,1007,CH,l,Lac Léman,lausanne,lac-leman,False,Lausanne,5586.0,139111.0,108701.0,2.0,rhone,25.0,63.0,38.0,0.0,7.0,91.0,10.0,0.0,25.0,120.0,0.0,0.0,10.0,21.0,8.0,6.0,0.0,0.0,13.0,0.0,0.0,6.0,268.0,1.0,1.0,0.0,0.0,713.0,269.0,444.0,0.0563063063063063,0.1418918918918918,0.0855855855855855,0.0,0.0157657657657657,0.2049549549549549,0.0225225225225225,0.0,0.0563063063063063,0.2702702702702703,0.0,0.0,0.0225225225225225,0.0472972972972973,0.018018018018018,0.0135135135135135,0.0,0.0,0.0292792792792792,0.0,0.0,0.0135135135135135,0.6036036036036037,0.0022522522522522,0.0022522522522522,0.0,0.0,0.3558558558558558,0.2274774774774774,0.2702702702702703,0.1013513513513513,0.0427927927927927,0.6058558558558559,0.0022522522522522,True,False,False,grand-lac
Préverenges,46.51269,6.527657,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643.0,5287.0,67132.0,2.0,rhone,31.0,91.0,5.0,3.0,3.0,43.0,21.0,0.0,7.0,24.0,17.0,7.0,9.0,72.0,6.0,2.0,0.0,0.0,21.0,1.0,0.0,7.0,335.0,2.0,0.0,1.0,0.0,708.0,337.0,371.0,0.0835579514824797,0.2452830188679245,0.013477088948787,0.0080862533692722,0.0080862533692722,0.1159029649595687,0.0566037735849056,0.0,0.0188679245283018,0.0646900269541779,0.045822102425876,0.0188679245283018,0.0242587601078167,0.1940700808625337,0.0161725067385444,0.0053908355795148,0.0,0.0,0.0566037735849056,0.0026954177897574,0.0,0.0188679245283018,0.9029649595687332,0.0053908355795148,0.0,0.0026954177897574,0.0,0.3773584905660377,0.1725067385444744,0.0646900269541779,0.3045822102425876,0.0781671159029649,0.908355795148248,0.0026954177897574,False,False,False,grand-lac
preverenges-le sout,46.5089049,6.5345263,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643.0,5287.0,55037.0,1.0,rhone,20.0,77.0,3.0,2.0,4.0,30.0,2.0,0.0,10.0,24.0,16.0,6.0,3.0,64.0,7.0,2.0,0.0,0.0,25.0,1.0,0.0,5.0,402.0,2.0,0.0,1.0,0.0,706.0,404.0,302.0,0.0662251655629139,0.2549668874172185,0.009933774834437,0.0066225165562913,0.0132450331125827,0.0993377483443708,0.0066225165562913,0.0,0.0331125827814569,0.0794701986754966,0.0529801324503311,0.0198675496688741,0.009933774834437,0.2119205298013245,0.0231788079470198,0.0066225165562913,0.0,0.0,0.0827814569536423,0.0033112582781456,0.0,0.0165562913907284,1.3311258278145697,0.0066225165562913,0.0,0.0033112582781456,0.0,0.3841059602649007,0.1059602649006622,0.0794701986754966,0.3245033112582781,0.1026490066225165,1.3377483443708609,0.0033112582781456,False,False,False,grand-lac
Rolle-plage,46.4613,6.349739,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861.0,6259.0,78058.0,4.0,rhone,11.0,99.0,2.0,6.0,15.0,55.0,10.0,0.0,4.0,16.0,2.0,132.0,0.0,30.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,311.0,1.0,0.0,0.0,0.0,707.0,312.0,395.0,0.0278481012658227,0.250632911392405,0.0050632911392405,0.0151898734177215,0.0379746835443038,0.1392405063291139,0.0253164556962025,0.0,0.010126582278481,0.040506329113924,0.0050632911392405,0.3341772151898734,0.0,0.0759493670886076,0.010126582278481,0.0050632911392405,0.0,0.0,0.0075949367088607,0.0,0.0,0.010126582278481,0.7873417721518987,0.0025316455696202,0.0,0.0,0.0,0.3468354430379747,0.1645569620253164,0.040506329113924,0.4303797468354431,0.0177215189873417,0.789873417721519,0.0,False,False,False,grand-lac
